timestamp,open,high,low,close,volume
2026-03-12T13:30:00.000Z,24758.498,24807.9238,24734.1406,24751.6465,35181293
2026-03-12T13:45:00.000Z,24736.627,24737.752,24610.3828,24635.4434,52195699
2026-03-12T14:00:00.000Z,24646.1621,24721.7461,24646.1621,24718.7168,44086723
2026-03-12T14:15:00.000Z,24717.3398,24725.9492,24604.3711,24604.3711,35238704
2026-03-12T14:30:00.000Z,24601.6777,24625.959,24557.3027,24623.4375,39468125
2026-03-12T14:45:00.000Z,24624.7363,24687.5313,24585.9199,24602.3457,38883801
2026-03-12T15:00:00.000Z,24604.0684,24609.0938,24541.8418,24565.0684,31229064
2026-03-12T15:15:00.000Z,24569.9863,24617.3125,24549.6191,24601.1367,32660503
2026-03-12T15:30:00.000Z,24597.2324,24684.623,24563.4941,24673.1426,37558717
2026-03-12T15:45:00.000Z,24663.6152,24672.918,24609.6133,24646.4629,28655576
2026-03-12T16:00:00.000Z,24647.8379,24682.5117,24576.2969,24629.9727,32648410
2026-03-12T16:15:00.000Z,24631.6992,24707.3242,24618.8418,24620.082,29580555
2026-03-12T16:30:00.000Z,24618.0898,24689.8691,24617.0703,24671.1074,27837569
2026-03-12T16:45:00.000Z,24667.9023,24673.8184,24611.0625,24642.3691,27486055
2026-03-12T17:00:00.000Z,24642.7051,24699.2852,24641.7656,24642.625,23442875
2026-03-12T17:15:00.000Z,24642.4277,24661.8125,24616.0254,24630.2109,20899047
2026-03-12T17:30:00.000Z,24631.1074,24668.8789,24625.252,24625.5645,21586958
2026-03-12T17:45:00.000Z,24624.2031,24631.7383,24572.7402,24604.1953,24015027
2026-03-12T18:00:00.000Z,24605.6289,24645.6875,24605.6289,24632.3672,22921509
2026-03-12T18:15:00.000Z,24636.1758,24646.1152,24595.748,24614.0781,22938213
2026-03-12T18:30:00.000Z,24616.0996,24623.6699,24584.1895,24589.5625,21706177
2026-03-12T18:45:00.000Z,24592.3555,24607.3691,24575.7637,24580.2695,21681249
2026-03-12T19:00:00.000Z,24579.2793,24602.8848,24551.1699,24570.3145,28425264
2026-03-12T19:15:00.000Z,24570.9277,24606.6133,24563.8613,24592.791,32519949
2026-03-12T19:30:00.000Z,24596.627,24618.9141,24554.0918,24564.0352,37713092
2026-03-12T19:45:00.000Z,24560.3574,24560.75,24522.5879,24532.0586,74355374
2026-03-13T13:30:00.000Z,24650.0859,24751.6289,24597.9902,24745.6172,42946471
2026-03-13T13:45:00.000Z,24748.4336,24786.6543,24711.9766,24713.9492,48818404
2026-03-13T14:00:00.000Z,24721.957,24742.0488,24648.209,24662.6465,43779129
2026-03-13T14:15:00.000Z,24657.4961,24680.2129,24624.1953,24664.8945,38820395
2026-03-13T14:30:00.000Z,24662.0879,24709.4316,24584.2305,24585.8672,35339685
2026-03-13T14:45:00.000Z,24578.2871,24581.8457,24476.2051,24476.9824,37664198
2026-03-13T15:00:00.000Z,24485.0801,24551.2441,24449.1738,24546.5078,36999126
2026-03-13T15:15:00.000Z,24542.1035,24542.5605,24450.9902,24452.2715,29283125
2026-03-13T15:30:00.000Z,24454.4434,24477.1602,24386.8066,24397.2617,31965836
2026-03-13T15:45:00.000Z,24399.7949,24452.5313,24379.8906,24396.9531,33838832
2026-03-13T16:00:00.000Z,24395.8418,24455.7246,24395.8379,24421.7578,26018384
2026-03-13T16:15:00.000Z,24422.8926,24443.1484,24400.6504,24430.5547,22489405
2026-03-13T16:30:00.000Z,24429.1191,24470.7188,24417.0547,24417.0547,26933205
2026-03-13T16:45:00.000Z,24416.418,24454.6641,24375.4727,24382.5215,27676791
2026-03-13T17:00:00.000Z,24387.0137,24435.7617,24378.6973,24435.7617,23200494
2026-03-13T17:15:00.000Z,24441.5254,24454.498,24408.1211,24435.4063,23373023
2026-03-13T17:30:00.000Z,24437.0781,24439.8242,24393.6953,24408.7207,21736707
2026-03-13T17:45:00.000Z,24408.7871,24413.3965,24340.5469,24357.8438,24041635
2026-03-13T18:00:00.000Z,24359.5488,24389.2188,24357.4082,24383.9766,24807977
2026-03-13T18:15:00.000Z,24384.7148,24398.2422,24356.5176,24395.0137,20922694
2026-03-13T18:30:00.000Z,24393.1895,24443.5078,24386.8906,24442.6699,22691410
2026-03-13T18:45:00.000Z,24442.2539,24453.3359,24427.3086,24432.9766,23273694
2026-03-13T19:00:00.000Z,24432.0352,24432.0352,24391.6699,24401.1914,26044236
2026-03-13T19:15:00.000Z,24401.0137,24412.9629,24355.0488,24359.0938,31744802
2026-03-13T19:30:00.000Z,24362.3262,24381.1523,24337.0273,24350.5547,37794797
2026-03-13T19:45:00.000Z,24351.9238,24385.8223,24341.8203,24379.7676,69720864
2026-03-16T13:30:00.000Z,24641.9023,24698.8809,24618.0566,24651.6309,43961448
2026-03-16T13:45:00.000Z,24652.332,24720.9609,24652.332,24714.4473,50753012
2026-03-16T14:00:00.000Z,24702.7305,24740.0625,24684.6836,24722.2559,43311299
2026-03-16T14:15:00.000Z,24720.2793,24741.1152,24704.8906,24704.8906,33931621
2026-03-16T14:30:00.000Z,24701.6992,24701.6992,24622.3535,24627.6855,37456954
2026-03-16T14:45:00.000Z,24636.7969,24675.959,24607.3691,24675.959,31461769
2026-03-16T15:00:00.000Z,24677.6387,24688.1113,24636.0332,24687.5957,33250988
2026-03-16T15:15:00.000Z,24684.0527,24718.9375,24669.0977,24700.3027,30509141
2026-03-16T15:30:00.000Z,24700.3594,24721.3379,24699.5645,24706.707,26136105
2026-03-16T15:45:00.000Z,24707.6973,24714.4629,24656.957,24659.5723,28576919
2026-03-16T16:00:00.000Z,24657.1328,24681.9238,24651.793,24664.9473,26269142
2026-03-16T16:15:00.000Z,24664.502,24670.4375,24608.0488,24616.5117,25746497
2026-03-16T16:30:00.000Z,24618.8516,24671.2402,24610.5527,24663.8516,24266087
2026-03-16T16:45:00.000Z,24665.9082,24678.6875,24652.3359,24659.8477,20665473
2026-03-16T17:00:00.000Z,24660.6992,24700.8945,24660.6992,24693.3027,24300226
2026-03-16T17:15:00.000Z,24693.3691,24705.8301,24679.2227,24681.4629,21957664
2026-03-16T17:30:00.000Z,24682.4023,24695.4199,24657.7949,24658.6797,21414798
2026-03-16T17:45:00.000Z,24659.0586,24677.373,24638.2148,24667.7715,19938459
2026-03-16T18:00:00.000Z,24667.2891,24701.707,24662.4395,24689.6016,26171699
2026-03-16T18:15:00.000Z,24691.7754,24709.6035,24690.7695,24701.3301,32960939
2026-03-16T18:30:00.000Z,24703.793,24714.8457,24690.6133,24714.8457,29874671
2026-03-16T18:45:00.000Z,24715.1523,24717.9375,24686.4961,24687.4492,23599956
2026-03-16T19:00:00.000Z,24688.7129,24792.7969,24674.0508,24699.0586,57398285
2026-03-16T19:15:00.000Z,24695.9336,24714.6309,24643.6582,24664.3223,52441100
2026-03-16T19:30:00.000Z,24664.0176,24674.4883,24634.6641,24639.6016,47144220
2026-03-16T19:45:00.000Z,24639.8809,24662.959,24619.9492,24655.9824,75402410
2026-03-17T13:30:00.000Z,24749.0098,24843.334,24749.0098,24831.1094,41902002
2026-03-17T13:45:00.000Z,24830.3633,24884.043,24830.3633,24854.6758,52535291
2026-03-17T14:00:00.000Z,24857.6992,24860.1641,24801.791,24801.791,45339666
2026-03-17T14:15:00.000Z,24799.5332,24841.9961,24776.1523,24830.2188,38753441
2026-03-17T14:30:00.000Z,24830.2656,24856.3496,24810.3223,24856.1875,32885758
2026-03-17T14:45:00.000Z,24853.168,24859.1719,24839.8359,24843.0996,31279578
2026-03-17T15:00:00.000Z,24842.4102,24856.209,24785.5313,24797.0703,31360183
2026-03-17T15:15:00.000Z,24794.041,24821.5156,24782.9902,24782.9902,27850618
2026-03-17T15:30:00.000Z,24781.4238,24797.332,24724.9473,24763.0781,29705347
2026-03-17T15:45:00.000Z,24763.2207,24778.9727,24756.7969,24763.207,24647278
2026-03-17T16:00:00.000Z,24760.3223,24765.4707,24722.7734,24748.1836,25608897
2026-03-17T16:15:00.000Z,24751.0781,24792.3496,24747.0352,24781.8125,27483775
2026-03-17T16:30:00.000Z,24783.9551,24790.4941,24761.2734,24790.4355,23430831
2026-03-17T16:45:00.000Z,24790.4668,24792.8809,24767.4629,24768.7637,20508549
2026-03-17T17:00:00.000Z,24768.8613,24804.502,24768.8613,24786.4668,21408362
2026-03-17T17:15:00.000Z,24786.5391,24790.166,24774.8984,24787.2793,19591728
2026-03-17T17:30:00.000Z,24786.4297,24803.7754,24779.6484,24779.6484,19273045
2026-03-17T17:45:00.000Z,24780.6211,24812.1328,24768.8438,24803.9023,20134794
2026-03-17T18:00:00.000Z,24805.6406,24825.1719,24794.373,24807.3379,21442195
2026-03-17T18:15:00.000Z,24806.4258,24810.75,24773.0742,24773.0742,20975638
2026-03-17T18:30:00.000Z,24772.6191,24779.0313,24761.3418,24762.2949,24628853
2026-03-17T18:45:00.000Z,24762.1719,24785.3457,24761.3887,24771.3184,21347311
2026-03-17T19:00:00.000Z,24771.8477,24783.3594,24751.9727,24772.0684,26678745
2026-03-17T19:15:00.000Z,24772.1719,24790.7109,24770.5781,24776.9395,28872363
2026-03-17T19:30:00.000Z,24776.873,24784.0586,24765.2168,24767.6973,34894937
2026-03-17T19:45:00.000Z,24767.7461,24796.0742,24763.8027,24783.9375,67636368
2026-03-18T13:30:00.000Z,24726.5957,24757.416,24687.5762,24718.3887,36771523
2026-03-18T13:45:00.000Z,24725.6172,24762.8613,24709.3574,24736.7852,44621035
2026-03-18T14:00:00.000Z,24742.3086,24753.2207,24672.6367,24672.6367,43628437
2026-03-18T14:15:00.000Z,24669.5176,24693.6406,24592.0527,24606.416,38097407
2026-03-18T14:30:00.000Z,24600.2656,24638.8047,24600.2656,24609.1934,32334757
2026-03-18T14:45:00.000Z,24608.6074,24654.9648,24600.8594,24654.9648,30701846
2026-03-18T15:00:00.000Z,24655.1387,24703.0879,24640.543,24678.582,35733789
2026-03-18T15:15:00.000Z,24684.8359,24684.8359,24639.582,24664.1738,26907321
2026-03-18T15:30:00.000Z,24660.7949,24686.2988,24658.0215,24670.373,26634963
2026-03-18T15:45:00.000Z,24671.4258,24686.2227,24654.4473,24675.8281,23012416
2026-03-18T16:00:00.000Z,24672.2422,24678.9902,24643.7266,24676.2754,21684622
2026-03-18T16:15:00.000Z,24675.5273,24681.2539,24655.877,24662.5176,22933926
2026-03-18T16:30:00.000Z,24657.9707,24665.5469,24606.5762,24625.6855,25277132
2026-03-18T16:45:00.000Z,24626.3125,24645.8184,24618.8164,24619.9199,18315644
2026-03-18T17:00:00.000Z,24619.9844,24620.6504,24572.4004,24578.4512,20930217
2026-03-18T17:15:00.000Z,24578.2852,24607.7168,24576.4043,24604.8926,18403758
2026-03-18T17:30:00.000Z,24604.9766,24640.2031,24588.9668,24624.3281,19354667
2026-03-18T17:45:00.000Z,24622.748,24655.332,24622.748,24648.1367,19518447
2026-03-18T18:00:00.000Z,24653.2832,24682.6445,24632.0273,24646.1504,30586634
2026-03-18T18:15:00.000Z,24645.2168,24645.3125,24602.7441,24627.752,23623631
2026-03-18T18:30:00.000Z,24623.7422,24633.5039,24566.9844,24588.1289,39885121
2026-03-18T18:45:00.000Z,24586.7617,24588.8438,24518.9043,24519.1113,31600417
2026-03-18T19:00:00.000Z,24518.8594,24572.0332,24514.9141,24540.4199,34839403
2026-03-18T19:15:00.000Z,24541.3652,24541.3652,24486.832,24496.0215,32420302
2026-03-18T19:30:00.000Z,24496.457,24513.6484,24449.7656,24458.4766,42749043
2026-03-18T19:45:00.000Z,24459.9902,24466.5859,24417.668,24422.9883,72498632
2026-03-19T13:30:00.000Z,24120.9121,24228.75,24104.877,24213.6348,50658382
2026-03-19T13:45:00.000Z,24205.9707,24293.8633,24181.7363,24270.8887,56731668
2026-03-19T14:00:00.000Z,24274.8828,24327.334,24252.6797,24279.7539,50467128
2026-03-19T14:15:00.000Z,24279.3262,24288.4043,24193.7734,24208.2637,42132647
2026-03-19T14:30:00.000Z,24209.123,24310.5605,24209.123,24257.4277,39570768
2026-03-19T14:45:00.000Z,24254.2305,24299.2324,24239.9414,24278.1855,31317724
2026-03-19T15:00:00.000Z,24272.4434,24355.2051,24265.6738,24331.8496,35490645
2026-03-19T15:15:00.000Z,24331.5938,24340.5,24231.6914,24247.9785,30688825
2026-03-19T15:30:00.000Z,24242.6641,24243.5449,24186.9277,24200.0801,29191357
2026-03-19T15:45:00.000Z,24198.4941,24254.3672,24186.498,24251.3848,28688736
2026-03-19T16:00:00.000Z,24253.8281,24298.1211,24239.8691,24249.4199,29463606
2026-03-19T16:15:00.000Z,24250.5098,24258.2676,24221.6582,24255.1914,24016066
2026-03-19T16:30:00.000Z,24255.0156,24279.2441,24224.2578,24264.3613,25894586
2026-03-19T16:45:00.000Z,24265.4102,24268.4277,24211.9805,24238.5957,25163198
2026-03-19T17:00:00.000Z,24238.375,24244.0742,24166.2559,24171.8887,24915927
2026-03-19T17:15:00.000Z,24172.8418,24241.8496,24166.5215,24231.9941,24397402
2026-03-19T17:30:00.000Z,24233.5273,24248.1406,24196.5469,24211.3965,19671306
2026-03-19T17:45:00.000Z,24212.1172,24259.9102,24202.127,24236.6602,19893981
2026-03-19T18:00:00.000Z,24234.5059,24295.9004,24211.209,24287.377,23952506
2026-03-19T18:15:00.000Z,24287.4316,24292.6992,24254.1543,24254.1543,22815842
2026-03-19T18:30:00.000Z,24252.0215,24253.2793,24207.5,24212.4063,21402366
2026-03-19T18:45:00.000Z,24212.252,24300.3594,24204.4805,24286.9668,29472474
2026-03-19T19:00:00.000Z,24288.2266,24461.7754,24288.2266,24434.3574,53633011
2026-03-19T19:15:00.000Z,24436.5566,24446.709,24357.6738,24372.4824,36652208
2026-03-19T19:30:00.000Z,24371.1074,24387.3945,24326.4102,24370.0879,40222164
2026-03-19T19:45:00.000Z,24366.5938,24374.9766,24342.4883,24352.7266,72391177
2026-03-20T13:30:00.000Z,24256.8926,24256.8926,24173.5215,24241.9414,37991273
2026-03-20T13:45:00.000Z,24253.4355,24256.5156,24074.2871,24085.3105,53065007
2026-03-20T14:00:00.000Z,24080.1426,24116.3086,24031.8418,24041.7852,50399131
2026-03-20T14:15:00.000Z,24039.8633,24083.4785,24039.8633,24062.7656,43054945
2026-03-20T14:30:00.000Z,24065.1289,24114.7598,24060.1035,24076.7461,43263403
2026-03-20T14:45:00.000Z,24072.0332,24090.1484,24023.3398,24059.8594,39407741
2026-03-20T15:00:00.000Z,24064.3223,24101.4824,24029.7207,24093.8633,37915078
2026-03-20T15:15:00.000Z,24093.8516,24119.2344,24042.1895,24055.3301,33044796
2026-03-20T15:30:00.000Z,24055.375,24087.6582,24047.877,24080.6465,25977140
2026-03-20T15:45:00.000Z,24081.9961,24107.9258,24065.127,24100.6953,25693635
2026-03-20T16:00:00.000Z,24100.9141,24139.8652,24096.541,24125.0098,26357559
2026-03-20T16:15:00.000Z,24124.5684,24137.6211,24093.8477,24094.6895,27281013
2026-03-20T16:30:00.000Z,24094.6855,24094.6855,24046.3691,24056.8828,24218965
2026-03-20T16:45:00.000Z,24055.043,24084.5313,24027.7383,24060.5566,23103996
2026-03-20T17:00:00.000Z,24063.5996,24077.9219,24023.4258,24041.8301,22301055
2026-03-20T17:15:00.000Z,24041.8594,24048.6816,24018.7852,24021.9336,21461547
2026-03-20T17:30:00.000Z,24022.498,24028.6152,23958.2871,23975.3984,28977306
2026-03-20T17:45:00.000Z,23977.4023,24004.9609,23960.4043,24001.6406,23985148
2026-03-20T18:00:00.000Z,24001.0469,24007.916,23967.4805,23974.0723,26259376
2026-03-20T18:15:00.000Z,23974.4043,23976.1172,23906.8223,23931.916,32558680
2026-03-20T18:30:00.000Z,23932.7129,23936.957,23876,23878.4727,31129615
2026-03-20T18:45:00.000Z,23878.2852,23890.3926,23860.7715,23878.7695,28632613
2026-03-20T19:00:00.000Z,23879.7656,23903.168,23854.7168,23872.1426,34345759
2026-03-20T19:15:00.000Z,23872.0977,23882.0547,23835.8965,23841.5156,37995426
2026-03-20T19:30:00.000Z,23844.8574,23856.8555,23760.8926,23839.9707,56270083
2026-03-20T19:45:00.000Z,23837.3145,23899.8184,23809.3633,23899.8184,98906000
2026-03-23T13:30:00.000Z,24265.7168,24339.9258,24216.7266,24291.6094,51549405
2026-03-23T13:45:00.000Z,24282.8438,24383.4141,24282.8438,24371.8633,59595438
2026-03-23T14:00:00.000Z,24369.6289,24395.8594,24316.832,24379.4297,51965177
2026-03-23T14:15:00.000Z,24383.041,24464.8965,24383.041,24417.3105,44633170
2026-03-23T14:30:00.000Z,24413.5215,24429.1582,24379.5996,24381.207,35291420
2026-03-23T14:45:00.000Z,24380.3613,24422.8574,24362.3418,24391.582,34024646
2026-03-23T15:00:00.000Z,24387.916,24461.9102,24384.459,24441.9121,35763549
2026-03-23T15:15:00.000Z,24442.8887,24444.2305,24379.7617,24390.2988,32712433
2026-03-23T15:30:00.000Z,24391.9336,24406.1309,24300.4785,24324.6621,36736205
2026-03-23T15:45:00.000Z,24319.2891,24319.2891,24160.0566,24167.6563,42454658
2026-03-23T16:00:00.000Z,24178.5723,24242.6836,24167.1602,24230.6465,34755461
2026-03-23T16:15:00.000Z,24231.1387,24235.1387,24098.6895,24099.5469,32438626
2026-03-23T16:30:00.000Z,24100.709,24180.2129,24100.709,24178.3457,26736333
2026-03-23T16:45:00.000Z,24176.5957,24202.6582,24137.6426,24153.1445,24169179
2026-03-23T17:00:00.000Z,24157.2285,24172.209,24131.9824,24142.3926,22621620
2026-03-23T17:15:00.000Z,24141.8066,24152.8398,24100.5645,24144.8359,21106632
2026-03-23T17:30:00.000Z,24144.0879,24250.1641,24144.0879,24200.7344,31326353
2026-03-23T17:45:00.000Z,24200.5645,24253.1953,24178.6758,24252.9727,20730922
2026-03-23T18:00:00.000Z,24250.8125,24265.9785,24206.6406,24245.2695,25560351
2026-03-23T18:15:00.000Z,24241.2266,24248.252,24221.2344,24230.5313,20920700
2026-03-23T18:30:00.000Z,24234.6875,24315.4473,24234.6875,24288.2129,28511238
2026-03-23T18:45:00.000Z,24288.4414,24308.2285,24284.8496,24298.25,23672874
2026-03-23T19:00:00.000Z,24298.4297,24298.4297,24276.7793,24277.9395,25497983
